"icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","geo_altitude","on_ground","velocity","true_track","vertical_rate","sensors","baro_altitude","squawk","spi","position_source","category",""
"                  StateVector(dict_values(['a6fb71'"," 'VJA549  '"," 'United States'","1745866507","1745866507","-87.5219","43.1398","13716"," False","246.57","87.97","-0.33"," None","13936.98"," '3675'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a71b82'"," 'VJA557  '"," 'United States'","1745866507","1745866507","-99.2729","30.5192","13106.4"," False","201.38","283.89","0"," None","13563.6"," '7274'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a2d11e'"," 'OXF6978 '"," 'United States'","1745866507","1745866507","-111.7562","33.4448","640.08"," False","39.73","265.54","2.28"," None","632.46"," '1200'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a34ae0'"," 'DAL737  '"," 'United States'","1745866507","1745866507","-80.992","36.4857","10957.56"," False","227.36","225.46","-0.33"," None","11300.46"," '0535'"," False","0"," 4]))",""
"                  StateVector(dict_values(['a1aa4e'"," 'SWA4526 '"," 'United States'","1745866506","1745866507","-111.9896","40.7239","1562.1"," False","70.24","354.96","-3.9"," None","1600.2"," '2054'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4b19fc'"," 'SWR1MH  '"," 'Switzerland'","1745866404","1745866404","8.5575","47.4558"," None"," True","0","5.62"," None"," None"," None"," '1000'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4b19fd'"," 'SWR9MY  '"," 'Switzerland'","1745866507","1745866507","4.6669","48.3148","10218.42"," False","225.48","108.77","-4.88"," None","10401.3"," '2034'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4b19fe'"," 'SWR9BV  '"," 'Switzerland'","1745866507","1745866507","10.7251","49.4549","10972.8"," False","231.56","241.61","0"," None","11109.96"," '1000'"," False","0"," 0]))",""
"                  StateVector(dict_values(['8695a4'"," 'ANA212  '"," 'Japan'","1745866507","1745866507","3.8512","50.8375","9448.8"," False","238.72","101.94","0"," None","9692.64"," '3407'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a00605'"," 'N100PM  '"," 'United States'","1745866199","1745866199","-85.6446","38.2368","243.84"," False","37.23","258.85","-2.6"," None","281.94"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a05fa9'"," 'N123JK  '"," 'United States'","1745866507","1745866507","-88.8615","36.9284","12192"," False","217.87","276.24","0"," None","12603.48"," '1506'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a46ab9'"," 'LXJ384  '"," 'United States'","1745866507","1745866507","-74.7471","39.3305","12748.26"," False","210.44","37.85","-2.93"," None","12923.52"," '7326'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a9c52e'"," 'NCR866  '"," 'United States'","1745866507","1745866507","-45.5643","-24.509","11277.6"," False","266.65","63.53","0"," None","11894.82"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['ac8d3c'"," 'DAL1679 '"," 'United States'","1745866500","1745866506","-84.2198","37.095","10485.12"," False","258.74","167.48","6.5"," None","10858.5"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a41110'"," 'N361LU  '"," 'United States'","1745866507","1745866507","-88.0253","41.4717","1097.28"," False","54.73","85.15","-1.63"," None","1104.9"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a364e7'"," 'DAL483  '"," 'United States'","1745866507","1745866507","-117.6173","34.6795","4732.02"," False","194.56","262.56","-4.88"," None","4823.46"," '1731'"," False","0"," 0]))",""
"                  StateVector(dict_values(['ad9a07'"," 'N976AZ  '"," 'United States'","1745866506","1745866507","-80.3076","25.7319","998.22"," False","82.83","0.36","-0.33"," None","1089.66"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['e49a9e'"," 'PSMBC   '"," 'Brazil'","1745866506","1745866507","-47.399","-22.6261","8107.68"," False","93.53","322.37","3.25"," None","8511.54"," '3205'"," False","0"," 0]))",""
"                  StateVector(dict_values(['7cf6b4'"," 'WORKS75 '"," 'Australia'","1745866401","1745866440","144.8417","-37.6722"," None"," True","0.06","75.94"," None"," None"," None"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a46ab3'"," 'FFT2144 '"," 'United States'","1745866187","1745866397","-84.4238","33.6439"," None"," True","0","0"," None"," None"," None"," '4543'"," False","0"," 0]))",""
"                  StateVector(dict_values(['aafdde'"," 'N807WM  '"," 'United States'","1745866507","1745866507","-81.0512","35.4805","617.22"," False","64.87","267.73","0"," None","662.94"," None"," False","0"," 0]))",""
